position,num_vesicles,area_vesicles,area_percent,environment,sample
G14,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,6
G15,0,0.0,0.0,Nacl 10mM,6
G16,1,1942.2896580818897,0.00185231176193415,Nacl 50mM,6
G17,0,0.0,0.0,Nacl 200mM,6
G18,4,1279.4136081744432,0.0012201438981765999,Nacl 500mM,6
G19,0,0.0,0.0,"1M HCL, 60uL + water",1
G20,0,0.0,0.0,"1M HCL, 30uL + water",1
G21,0,0.0,0.0,0.1M NaOH 15uL + water,1
G22,0,0.0,0.0,0.1M NaOH 30uL + water,1
H03,0,0.0,0.0,"1M HCL, 60uL + seasalt",1
H04,0,0.0,0.0,"1M HCL, 30uL + seasalt",1
H05,0,0.0,0.0,0.1M NaOH 15uL + seasalt,1
H06,0,0.0,0.0,0.1M NaOH 30uL + seasalt,1
H07,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",1
H08,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",1
H09,0,402.1238596594935,0.0003834951969714,0.1M NaOH 15uL + Seasalt + soup,1
H10,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,1
H11,0,0.0,0.0,Nacl 10mM,1
H12,0,0.0,0.0,Nacl 50mM,1
H13,0,0.0,0.0,Nacl 200mM,1
H14,0,0.0,0.0,Nacl 500mM,1
H15,0,0.0,0.0,"1M HCL, 60uL + water",2
H16,0,0.0,0.0,"1M HCL, 30uL + water",2
H17,0,0.0,0.0,0.1M NaOH 15uL + water,2
H18,0,0.0,0.0,0.1M NaOH 30uL + water,2
H19,0,0.0,0.0,"1M HCL, 60uL + seasalt",2
H20,0,0.0,0.0,"1M HCL, 30uL + seasalt",2
H21,0,0.0,0.0,0.1M NaOH 15uL + seasalt,2
H22,0,0.0,0.0,0.1M NaOH 30uL + seasalt,2
I03,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",2
I04,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",2
I05,0,0.0,0.0,0.1M NaOH 15uL + Seasalt + soup,2
I06,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,2
I07,0,0.0,0.0,Nacl 10mM,2
I08,0,0.0,0.0,Nacl 50mM,2
I09,0,0.0,0.0,Nacl 200mM,2
I10,0,0.0,0.0,Nacl 500mM,2
I11,0,0.0,0.0,"1M HCL, 60uL + water",3
I12,0,0.0,0.0,"1M HCL, 30uL + water",3
I13,0,0.0,0.0,0.1M NaOH 15uL + water,3
I14,0,0.0,0.0,0.1M NaOH 30uL + water,3
I15,0,0.0,0.0,"1M HCL, 60uL + seasalt",3
I16,0,0.0,0.0,"1M HCL, 30uL + seasalt",3
I17,0,0.0,0.0,0.1M NaOH 15uL + seasalt,3
I18,0,628.3185307179587,0.0005992112452678,0.1M NaOH 30uL + seasalt,3
I19,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",3
I20,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",3
I21,0,0.0,0.0,0.1M NaOH 15uL + Seasalt + soup,3
I22,0,399.37496608760244,0.00038087364777335,0.1M NaOH 30uL + Seasalt + soup,3
J03,0,0.0,0.0,Nacl 10mM,3
J04,0,0.0,0.0,Nacl 50mM,3
J05,0,0.0,0.0,Nacl 200mM,3
J06,1,472.0242962018664,0.00045015744800745,Nacl 500mM,3
J07,0,0.0,0.0,"1M HCL, 60uL + water",4
J08,0,0.0,0.0,"1M HCL, 30uL + water",4
J09,0,0.0,0.0,0.1M NaOH 15uL + water,4
J10,0,0.0,0.0,0.1M NaOH 30uL + water,4
J11,0,0.0,0.0,"1M HCL, 60uL + seasalt",4
J12,0,0.0,0.0,"1M HCL, 30uL + seasalt",4
J13,0,0.0,0.0,0.1M NaOH 15uL + seasalt,4
J14,0,0.0,0.0,0.1M NaOH 30uL + seasalt,4
J15,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",4
J16,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",4
J17,0,0.0,0.0,0.1M NaOH 15uL + Seasalt + soup,4
J18,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,4
J19,0,0.0,0.0,Nacl 10mM,4
J20,0,0.0,0.0,Nacl 50mM,4
J21,0,0.0,0.0,Nacl 200mM,4
J22,0,0.0,0.0,Nacl 500mM,4
K03,0,0.0,0.0,"1M HCL, 60uL + water",5
K04,0,0.0,0.0,"1M HCL, 30uL + water",5
K05,0,0.0,0.0,0.1M NaOH 15uL + water,5
K06,0,0.0,0.0,0.1M NaOH 30uL + water,5
K07,0,0.0,0.0,"1M HCL, 60uL + seasalt",5
K08,0,402.1238596594935,0.0003834951969714,"1M HCL, 30uL + seasalt",5
K09,0,0.0,0.0,0.1M NaOH 15uL + seasalt,5
K10,0,0.0,0.0,0.1M NaOH 30uL + seasalt,5
K11,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",5
K12,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",5
K13,0,0.0,0.0,0.1M NaOH 15uL + Seasalt + soup,5
K14,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,5
K15,0,0.0,0.0,Nacl 10mM,5
K16,0,0.0,0.0,Nacl 50mM,5
K17,0,113.49003461093127,0.0001082325311765,Nacl 200mM,5
K18,4,2850.6026340510384,0.0027185465183744,Nacl 500mM,5
K19,0,0.0,0.0,"1M HCL, 60uL + water",6
K20,0,0.0,0.0,"1M HCL, 30uL + water",6
K21,0,330.259927708627,0.0003149604107939,0.1M NaOH 15uL + water,6
K22,2,2894.192232119597,0.0027601167985149,0.1M NaOH 30uL + water,6
L11,0,0.0,0.0,"1M HCL, 60uL + seasalt",6
L12,0,0.0,0.0,"1M HCL, 30uL + seasalt",6
L13,0,0.0,0.0,0.1M NaOH 15uL + seasalt,6
L14,0,0.0,0.0,0.1M NaOH 30uL + seasalt,6
L15,0,0.0,0.0,"1M HCL, 60uL + Seasalt + soup",6
L16,0,0.0,0.0,"1M HCL, 30uL + Seasalt + soup",6
L17,0,0.0,0.0,0.1M NaOH 15uL + Seasalt + soup,6
L18,0,0.0,0.0,0.1M NaOH 30uL + Seasalt + soup,6
L19,0,0.0,0.0,Nacl 10mM,6
L20,0,0.0,0.0,Nacl 50mM,6
L21,2,683.6891012374788,0.000652016736257,Nacl 200mM,6
L22,2,368.744437715102,0.00035166209956655,Nacl 500mM,6
